#,DateTime,Temperature_C,Event,mm
,6/12/2022 18:00,13.654,,
,6/12/2022 19:00,11.528,,
,6/12/2022 20:00,9.571,,
,6/12/2022 21:00,7.782,,
,6/12/2022 22:00,6.775,,
,6/12/2022 23:00,6.268,,
,6/13/2022 0:00,6.268,,
,6/13/2022 1:00,6.166,,
,6/13/2022 2:00,6.37,,
,6/13/2022 3:00,6.674,,
,6/13/2022 3:50,,388,0.254
,6/13/2022 4:00,6.674,,
,6/13/2022 4:09,,389,0.254
,6/13/2022 4:19,,390,0.254
,6/13/2022 4:33,,391,0.254
,6/13/2022 4:50,,392,0.254
,6/13/2022 5:00,6.471,,
,6/13/2022 5:06,,393,0.254
,6/13/2022 5:23,,394,0.254
,6/13/2022 5:29,,395,0.254
,6/13/2022 5:35,,396,0.254
,6/13/2022 5:41,,397,0.254
,6/13/2022 5:44,,398,0.254
,6/13/2022 5:46,,399,0.254
,6/13/2022 5:50,,400,0.254
,6/13/2022 5:53,,401,0.254
,6/13/2022 5:57,,402,0.254
,6/13/2022 6:00,6.674,,
,6/13/2022 6:00,,403,0.254
,6/13/2022 6:04,,404,0.254
,6/13/2022 6:10,,405,0.254
,6/13/2022 6:14,,406,0.254
,6/13/2022 6:19,,407,0.254
,6/13/2022 6:26,,408,0.254
,6/13/2022 6:33,,409,0.254
,6/13/2022 6:46,,410,0.254
,6/13/2022 7:00,7.381,,
,6/13/2022 7:00,,411,0.254
,6/13/2022 7:07,,412,0.254
,6/13/2022 7:15,,413,0.254
,6/13/2022 7:27,,414,0.254
,6/13/2022 7:34,,415,0.254
,6/13/2022 7:39,,416,0.254
,6/13/2022 7:44,,417,0.254
,6/13/2022 7:51,,418,0.254
,6/13/2022 7:56,,419,0.254
,6/13/2022 8:00,7.882,,
